word;level;kana reading;TranslationEng;TranslationRus;SpecialReading;KanaOnly;check this;;
若者;0;わか・もの;a young man;;0;0;;;
苦笑する;0;く・しょう・する;to smile wryly;;0;0;;;
英和辞典;0;えい・わ・じ・てん;an English-Japanese dictionary;;0;0;;;
英国;0;えい・こく;England;;0;0;;;
落下する;0;らっ・か・する;to fall, to drop;;0;0;;;
落第する;0;らく・だい・する;to fail (in an exam.);;0;0;;;
薬屋;0;くすり・や;a chemist's shop;;0;0;;;
行う;0;おこな・う;to carry out;;0;0;;;
行動する;0;こう・どう・する;to act, to behave;;0;0;;;
行政;0;ぎょう・せい;administration;;0;0;;;
複雑な;0;ふく・ざつ・な;complicated;;0;0;;;
西口;0;にし・ぐち;the west gate;;0;0;;;
要求する;0;よう・きゅう・する;to demand;;0;0;;;
見物する;0;けん・ぶつ・する;to do sightseeing;;0;0;;;
親切な;0;しん・せつ・な;kind;;0;0;;;
計画する;0;けい・かく・する;to plan;;0;0;;;
記入する;0;き・にゅう・する;to fill in;;0;0;;;
訪れる;0;おと・れる;to visit (a place);;0;0;;;
訪問する;0;ほう・もん・する;to pay a visit;;0;0;;;
訪米する;0;ほう・べい・する;to visit the U.S.A.;;0;0;;;
設立する;0;せつ・りつ・する;to establish;;0;0;;;
設置する;0;せっ・ち・する;to set up;;0;0;;;
設計する;0;サっ・けい・する;to plan, to design;;0;0;;;
評価する;0;ひょう・か・する;to evaluate;;0;0;;;
試みる;0;こころ・みる;to try;;0;0;;;
試着室;0;し・ちゃく・しつ;a dressing room;;0;0;;;
説教する;0;せっ・きょう・する;to preach;;0;0;;;
説明する;0;せつ・めい・する;to explain;;0;0;;;
読者;0;どく・しゃ;a reader;;0;0;;;
課す;0;か・す;to assign;;0;0;;;
調和;0;ちょう・わ;harmony;;0;0;;;
調査する;0;ちょう・さ・する;to investigate;;0;0;;;
談話室;0;だん・わ・しつ;a lounge;;0;0;;;
論理;0;ろん・り;logic;;0;0;;;
議論する;0;ぎ・ろん・する;to discuss, to argue;;0;0;;;
貝がら;0;かい・がら;a shell;;0;0;;;
買物;0;かい・もの;shopping;;0;0;;;
賃貸マンション;0;ちん・たい・マンション;a rental condomunnium;;0;0;;;
資格;0;し・かく;a qualification;;0;0;;;
質問する;0;しつ・もん・する;to ask a question;;0;0;;;
赤い;0;あか・い;red;;0;0;;;
赤字;0;あか・じ;a deficit;;0;0;;;
走者;0;そう・しゃ;a runner;;0;0;;;
起立する;0;き・りつ・する;to stand up;;0;0;;;
足音;0;あし・おと;foot steps;;0;0;;;
車両;0;しゃ・りょう;vehicles, cars;;0;0;;;
車道;0;しゃ・どう;a roadway;;0;0;;;
軽油;0;けい・ゆ;gas oil, light oil;;0;0;;;
軽自動車;0;けい・じ・どう・しゃ;a compact car;;0;0;;;
軽食;0;けい・しょく;a snack;;0;0;;;
近代化;0;きん・だい・か;modernization;;0;0;;;
近代化する;0;きん・だい・か・する;to modernize;;0;0;;;
近代史;0;きん・だい・し;modern history;;0;0;;;
返事;0;へん・じ;an answer;;0;0;;;
返信する;0;へん・しん・する;to reply (by letter);;0;0;;;
返済する;0;へん・さい・する;to return, to pay back;;0;0;;;
返答する;0;へん・とう・する;to reply;;0;0;;;
退学する;0;たい・がく・する;to leave school;;0;0;;;
退社する;0;たい・しゃ・する;to leave the office;;0;0;;;
退院する;0;たい・いん・する;to leave hospital;;0;0;;;
送別会;0;そう・べつ・かい;a farewell party;;0;0;;;
通学する;0;つう・がく・する;to go to school;;0;0;;;
通知する;0;つう・ち・する;to inform;;0;0;;;
通行止め;0;つう・こう・ど・め;closed to traffic;;0;0;;;
通過する;0;つう・か・する;to pass;;0;0;;;
連れていく;0;つ・れていく;to take (someone);;0;0;;;
連れてくる;0;つ・れてくる;to bring (someone);;0;0;;;
連日;0;れん・じつ;day after day;;0;0;;;
連絡する;0;れん・らく・する;to contact, to inform;;0;0;;;
連続する;0;れん・ぞく・する;to continue;;0;0;;;
週刊誌;0;しゅう・かん・し;a weekly magazine;;0;0;;;
週末;0;しゅう・まつ;the weekend;;0;0;;;
進む;0;すす・む;to advance, to progress;;0;0;;;
進歩する;0;しん・ぽ・する;to progress;;0;0;;;
進路;0;しん・ろ;a course, a route;;0;0;;;
遅刻する;0;ち・こく・する;to come late;;0;0;;;
運動;0;うん・どう;exercise, sports;;0;0;;;
運動場;0;うん・どう・じょう;a playground;;0;0;;;
運営する;0;うん・えい・する;to manage;;0;0;;;
運転する;0;うん・てん・する;to drive;;0;0;;;
運送;0;うん・そう;conveyance;;0;0;;;
適した;0;てき・した;suitable;;0;0;;;
適切な;0;てき・せつ・な;appropriate;;0;0;;;
適当な;0;てき・とう・な;proper;;0;0;;;
適応する;0;てき・おう・する;to adapt;;0;0;;;
選挙;0;せん・きょ;an election;;0;0;;;
選考する;0;せん・こう・する;to select;;0;0;;;
部屋代;0;へ・や・だい;room rent;;0;0;;;
配達する;0;はい・たつ・する;to deliver;;0;0;;;
重大な;0;じゅう・だい・な;important;;0;0;;;
重要な;0;じゅう・よう・な;important;;0;0;;;
野原;0;の・はら;a field;;0;0;;;
野山;0;の・やま;hills and fields;;0;0;;;
野球;0;や・きゅう;baseball;;0;0;;;
野鳥;0;や・ちょう;a wild bird;;0;0;;;
金田;0;かね・だ;Japanese name;;0;0;;;
銀座;0;ぎん・ざ;Ginza;;0;0;;;
長野;0;なが・の;Nagano Prefecture;;0;0;;;
閉会する;0;へい・かい・する;to close a meeting;;0;0;;;
閉店する;0;へい・てん・する;to close a store;;0;0;;;
開会する;0;かい・かい・する;to open a meeting;;0;0;;;
開始する;0;かい・し・する;to begin;;0;0;;;
開店する;0;かい・てん・する;to open a store;;0;0;;;
開放する;0;かい・ほう・する;to open;;0;0;;;
間違い;0;ま・ちが・い;a mistake;;0;0;;;
関係する;0;かん・けい・する;to relate;;0;0;;;
関東地方;0;かん・とう・ち・ほう;the Kanto District;;0;0;;;
集中する;0;しゅう・ちゅう・する;to concentrate;;0;0;;;
集合する;0;しゅう・ごう・する;to gather;;0;0;;;
雑布;0;ぞう・きん;a dust cloth;;1;0;;;
雑用;0;ざつ・よう;miscellaneous duties;;0;0;;;
離婚する;0;り・こん・する;to divorce;;0;0;;;
難問;0;なん・もん;a difficult problem;;0;0;;;
難民;0;なん・みん;refugees;;0;0;;;
雨具;0;あま・ぐ;rain-wear;;0;0;;;
雨天;0;う・てん;rainy weather;;0;0;;;
雪国;0;ゆき・ぐに;a snowy country;;0;0;;;
電話局;0;でん・わ・きょく;a telephone office;;0;0;;;
電話番号;0;でん・わ・ばん・ごう;a telephone number;;0;0;;;
青い;0;あお・い;blue;;0;0;;;
青信号;0;あお・しん・ごう;a green light;;0;0;;;
青春;0;せい・しゅん;youth;;0;0;;;
静かな;0;しず・かな;quiet;;0;0;;;
静止する;0;せい・し・する;to stand still;;0;0;;;
非常口;0;ひ・じょう・ぐち;an emergency exit;;0;0;;;
非現実的;0;ひ・げん・じつ・てき;unrealistic;;0;0;;;
非行;0;ひ・こう;delinquency;;0;0;;;
面接する;0;めん・せつ・する;to interview;;0;0;;;
音相;0;しゅ・しょう;a Prime Minister;;0;0;;;
音読み;0;おん・よ・み;“ON” reading;;0;0;;;
頭部;0;とう・ぶ;the head;;0;0;;;
頭金;0;あたま・きん;down payment;;0;0;;;
顔色;0;かお・いろ;complexion;;0;0;;;
顔面;0;がん・めん;the face;;0;0;;;
願書;0;がん・しょ;an application;;0;0;;;
類義語;0;るい・ぎ・ご;a synonym;;0;0;;;
飛行船;0;ひ・こう・せん;an airship;;0;0;;;
食料品;0;しょく・りょう・ひん;food;;0;0;;;
食費;0;しょく・ひ;food expenses;;0;0;;;
飲酒;0;いん・しゅ;drinking;;0;0;;;
馬力;0;ば・りき;horsepower (h.p.);;0;0;;;
馬車;0;ば・しゃ;a carriage;;0;0;;;
駅員;0;えき・いん;a station-employee;;0;0;;;
駅長;0;えき・ちょう;the stationmaster;;0;0;;;
驚き;0;おどろ・き;surprise;;0;0;;;
驚異;0;きょう・い;a wonder;;0;0;;;
高価な;0;こう・か・な;expensive;;0;0;;;
高原;0;こう・げん;highlands;;0;0;;;
高校;0;こう・こう;a high school;;0;0;;;
高橋;0;たか・はし;Japanese name;;0;0;;;
魚屋;0;さかな・や;a fish shop;;0;0;;;
黒;0;くろ;black color;;0;0;;;
黒い;0;くろ・い;black;;0;0;;;
黒字;0;くろ・じ;a profit, surplus;;0;0;;;
ーつ;0;ひと・つ;one (thing);;0;0;;;
ー個;0;いっ・こ;one (thing);;0;0;;;
ああ;1;ああ;;ах, ой, да;0;1;;;
あそこ;1;あそこ;;там (далеко);0;1;;;
あちら;1;あちら;;там, та сторона (далеко);0;1;;;
あなた;1;あなた;;Вы;0;1;;;
あの;1;あの;;… мм…, послушайте, тот…;0;1;;;
アパート;1;アパート;;квартира, апартаменты;0;1;;;
あまり;1;あまり;;не очень (с отрицанием);0;1;;;
ある;1;ある;;быть, находиться (для неодушевленных);0;1;;;
あれ;1;あれ;;то (далеко);0;1;;;
いいえ;1;いいえ;;нет;0;1;;;
どういたしまして;1;どういたしまして;;не за что (на спасибо);0;1;;;
いかが;1;いかが;;как насчет… (кофе, чая);0;1;;;
いくつ;1;いくつ;;сколько? сколько лет?;0;1;;;
いくら;1;いくら;;сколько стоит?;0;1;;;
いただきます;1;いただきます;;приятного аппетита, отведаю (перед едой);0;1;;;
いつも;1;いつも;;всегда;0;1;;;
いらっしゃいませ;1;いらっしゃいませ;;добро пожаловать!;0;1;;;
ええ;1;ええ;;да;0;1;;;
エレベーター;1;エレベーター;;лифт;0;1;;;
おねがいします;1;おねがいします;;пожалуйста;0;1;;;
おはようございます;1;おはようございます;;Доброе утро!;0;1;;;
おまわりさん;1;おまわりさん;;(дружелюбно) полицейский;0;1;;;
おやすみなさい;1;おやすみなさい;;спокойной ночи;0;1;;;
カップ;1;カップ;;чашка;0;1;;;
カメラ;1;カメラ;;фотоаппарат;0;1;;;
カレー;1;カレー;;кари;0;1;;;
カレンダー;1;カレンダー;;календарь;0;1;;;
ギター;1;ギター;;гитара;0;1;;;
きれい;1;きれい;;красивый, чистый;0;1;;;
キロ・キログラム;1;キロ・キログラム;;килограмм;0;1;;;
キロ・キロメートル;1;キロ・キロメートル;;километр;0;1;;;
クラス;1;クラス;;класс;0;1;;;
コート;1;コート;;пальто;0;1;;;
コーヒー;1;コーヒー;;кофе;0;1;;;
ここ;1;ここ;;здесь (рядом с говорящим);0;1;;;
ごちそうさまでした;1;ごちそうさまでした;;спасибо за угощение;0;1;;;
こちら;1;こちら;;это лицо, этот путь (рядом с говорящим);0;1;;;
こっち;1;こっち;;этот путь, сюда (рядом с говорящим), здесь, тут (разг.);0;1;;;
こちらこそ;1;こちらこそ;;мне тоже приятно;0;1;;;
コップ;1;コップ;;стакан, бокал;0;1;;;
この;1;この;;этот… (рядом с говорящим);0;1;;;
コピーする;1;コピーする;;копировать;0;1;;;
ごめんください;1;ごめんください;;извините, можно войти?;0;1;;;
ごめんなさい;1;ごめんなさい;;извините;0;1;;;
これ;1;これ;;это (рядом с говорящим);0;1;;;
こんな;1;こんな;;такой, подобный;0;1;;;
さあ;1;さあ;;ну, ну-ка, ну-вот;0;1;;;
さよなら・さようなら;1;さよなら・さようなら;;до свидания (надолго);0;1;;;
〜さん;1;〜さん;;господин…, госпожа… (при обращении);0;1;;;
じゃ・じゃあ;1;じゃ・じゃあ;;ну тогда, в таком случае;0;1;;;
シャツ;1;シャツ;;мужская рубашка;0;1;;;
シャワー;1;シャワー;;душ;0;1;;;
スカート;1;スカート;;юбка;0;1;;;
〜ずつ;1;〜ずつ;;по… (после числ.);0;1;;;
ストーブ;1;ストーブ;;металлическая печка;0;1;;;
スプーン;1;スプーン;;ложка;0;1;;;
スポーツ;1;スポーツ;;спорт;0;1;;;
ズボン;1;ズボン;;брюки;0;1;;;
すみません;1;すみません;;извините, прошу прощения, виноват;0;1;;;
スリッパ;1;スリッパ;;тапочки;0;1;;;
する;1;する;;делать;0;1;;;
セーター;1;セーター;;свитер;0;1;;;
ゼロ;1;ゼロ;;ноль;0;1;;;
そうして・そして;1;そうして・そして;;и…, так же…;0;1;;;
そこ;1;そこ;;там (рядом собеседником);0;1;;;
そちら;1;そちら;;та сторона, путь (рядом с собеседником);0;1;;;
そっち;1;そっち;;та сторона, туда;0;1;;;
その;1;その;;этот… (рядом с собеседником);0;1;;;
それ;1;それ;;это (рядом с собеседником);0;1;;;
それから;1;それから;;затем;0;1;;;
それでは;1;それでは;;в таком случае;0;1;;;
たいへん;1;たいへん;;очень, ужасно;0;1;;;
タクシー;1;タクシー;;такси;0;1;;;
テープ;1;テープ;;лента, магнитная пленка;0;1;;;
テーブル;1;テーブル;;стол;0;1;;;
テープレコーダー;1;テープレコーダー;;магнитофон;0;1;;;
テスト;1;テスト;;тест;0;1;;;
では;1;では;;ну, тогда, значит, в таком случае;0;1;;;
デパート;1;デパート;;универмаг;0;1;;;
でも;1;でも;;но;0;1;;;
テレビ;1;テレビ;;телевизор;0;1;;;
ドア;1;ドア;;дверь (западная);0;1;;;
トイレ;1;トイレ;;туалет;0;1;;;
どう;1;どう;;как? (субъективное мнение);0;1;;;
どうして;1;どうして;;почему?, каким образом? (как случилось);0;1;;;
どうぞ;1;どうぞ;;пожалуйста;0;1;;;
どうぞよろしく;1;どうぞよろしく;;приятно познакомиться (в конце представления);0;1;;;
どうも;1;どうも;;очень, спасибо;0;1;;;
どうもありがとうございます;1;どうもありがとうございます;;большое спасибо;0;1;;;
どこ;1;どこ;;где?;0;1;;;
とても;1;とても;;очень;0;1;;;
どなた;1;どなた;;вежливо кто?;0;1;;;
どの;1;どの;;какой…, который…;0;1;;;
どれ;1;どれ;;какой, который (из более чем двух предметов);0;1;;;
どんな;1;どんな;;какой;0;1;;;
ナイフ;1;ナイフ;;нож;0;1;;;
なぜ;1;なぜ;;почему;0;1;;;
など;1;など;;и так далее;0;1;;;
なる;1;なる;;становиться, делаться;0;1;;;
ニュース;1;ニュース;;новости;0;1;;;
ネクタイ;1;ネクタイ;;галстук;0;1;;;
ノート;1;ノート;;записная книжка, записи;0;1;;;
パーティー;1;パーティー;;вечеринка;0;1;;;
はい;1;はい;;да;0;1;;;
はく;1;はく;;надевать на ноги;0;1;;;
バス;1;バス;;автобус;0;1;;;
バター;1;バター;;сливочное масло;0;1;;;
パン;1;パン;;хлеб;0;1;;;
ハンカチ;1;ハンカチ;;носовой платок;0;1;;;
フィルム;1;フィルム;;пленка;0;1;;;
プール;1;プール;;бассейн;0;1;;;
フォーク;1;フォーク;;вилка;0;1;;;
ページ;1;ページ;;страница;0;1;;;
ベッド;1;ベッド;;кровать;0;1;;;
ペン;1;ペン;;ручка;0;1;;;
ボールペン;1;ボールペン;;шариковая ручка;0;1;;;
ポケット;1;ポケット;;карман;0;1;;;
ボタン;1;ボタン;;кнопка;0;1;;;
ホテル;1;ホテル;;гостиница, отель;0;1;;;
まっすぐ;1;まっすぐ;;прямо, не сворачивая;0;1;;;
マッチ;1;マッチ;;спички, подходить, матч;0;1;;;
メートル;1;メートル;;метр;0;1;;;
もう;1;もう;;уже;0;1;;;
もしもし;1;もしもし;;алло;0;1;;;
もっと;1;もっと;;еще (больше);0;1;;;
ゆっくりと;1;ゆっくりと;;медленно, не спеша, потихоньку;0;1;;;
よく;1;よく;;часто;0;1;;;
ラジオ;1;ラジオ;;радио;0;1;;;
レコード;1;レコード;;рекорд, запись;0;1;;;
レストラン;1;レストラン;;ресторан;0;1;;;
ワイシャツ;1;ワイシャツ;;мужская рубашка;0;1;;;
ああああ;2;ああああ;;так, таким образом;0;1;;;
アルコール;2;アルコール;;спирт, алкоголь;0;1;;;
アルバイト;2;アルバイト;;подработка;0;1;;;
あんな;2;あんな;;такой, такая;0;1;;;
いくらても;2;いくらても;;сколько бы ни…;0;1;;;
いっ(い) らっしゃい;2;いっ(い) らっしゃい;;счастливого пути!;0;1;;;
いらっしゃる;2;いらっしゃる;;идти, приходить (вежл.);0;1;;;
うん;2;うん;;угу, да;0;1;;;
エスカレーター;2;エスカレーター;;эскалатор;0;1;;;
オートバイ;2;オートバイ;;мотоцикл;0;1;;;
オーバー;2;オーバー;;пальто, преувеличение;0;1;;;
おや;2;おや;;ой, ах, как, вот те на!;0;1;;;
カーテン;2;カーテン;;занавеска;0;1;;;
ガソリン;2;ガソリン;;бензин;0;1;;;
ガソリンスタンド;2;ガソリンスタンド;;автозаправка;0;1;;;
ガラス;2;ガラス;;стекло;0;1;;;
けれど・けれども;2;けれど・けれども;;однако, хотя, несмотря на то, что…;0;1;;;
こうこう;2;こうこう;;так, таким образом;0;1;;;
コンサート;2;コンサート;;концерт;0;1;;;
さっき;2;さっき;;недавно, только что, ранее;0;1;;;
サンダル;2;サンダル;;сандалии;0;1;;;
サンドイッチ;2;サンドイッチ;;бутерброд;0;1;;;
ジャム;2;ジャム;;джем;0;1;;;
スーツケース;2;スーツケース;;чемодан, дорожная сумка;0;1;;;
スクリーン;2;スクリーン;;экран;0;1;;;
すっかり;2;すっかり;;совсем, совершенно, полностью;0;1;;;
ずっと;2;ずっと;;гораздо, больше, дальше, все время, постоянно;0;1;;;
ステレオ;2;ステレオ;;стерео;0;1;;;
すると;2;すると;;тогда, вслед за этим, в таком случае, значит, ну, и вот…;0;1;;;
そう;2;そう;;так, таким образом;0;1;;;
それはいけませんね;2;それはいけませんね;;так нельзя, так не пойдет, нехорошо;0;1;;;
そんな;2;そんな;;такой;0;1;;;
そんなに;2;そんなに;;так;0;1;;;
タイプ;2;タイプ;;тип;0;1;;;
だから;2;だから;;поэтому;0;1;;;
ちっとも;2;ちっとも;;нисколько, ничуть (с отриц.);0;1;;;
ちゃんちゃん;2;ちゃんちゃん;;ласковый суффикс к именам;0;1;;;
テキスト;2;テキスト;;текст;0;1;;;
テニスコート;2;テニスコート;;теннисный корт;0;1;;;
とうとう;2;とうとう;;и так далее, и тому подобное, и другие;0;1;;;
ばかり;2;ばかり;;(суф. числ.) примерно, около;0;1;;;
はっきり;2;はっきり;;ясно, отчетливо;0;1;;;
ビル;2;ビル;;здание;0;1;;;
プレゼント;2;プレゼント;;подарок;0;1;;;
ベル;2;ベル;;звонок;0;1;;;
まま;2;まま;;так, как есть;0;1;;;
もう直ぐもうすぐ;2;もう直ぐもうすぐ;;вот-вот, скоро;0;1;;;
もう一つもうひとつ;2;もう一つもうひとつ;;еще один;0;1;;;
やっと;2;やっと;;наконец-то;0;1;;;
あっ;3;あっ;;Ах! Ох!;0;1;;;
アイスクリーム;3;アイスクリーム;;мороженное;0;1;;;
あいにく;3;あいにく;;к сожалению, к несчастью, жаль;0;1;;;
アイロン;3;アイロン;;утюг;0;1;;;
アウト;3;アウト;;аут, вне;0;1;;;
あちこち;3;あちこち;;тут и там, там и сям, повсюду;0;1;;;
あらゆる;3;あらゆる;;всевозможные, всяческие, все;0;1;;;
アルバム;3;アルバム;;альбом;0;1;;;
あんなに;3;あんなに;;так, настолько;0;1;;;
あんまり;3;あんまり;;остаток, не очень (с отриц.);0;1;;;
いけない;3;いけない;;нельзя, не следует, плохой, неправильный;0;1;;;
いずれ;3;いずれ;;который, какой;0;1;;;
いつか;3;いつか;;когда-нибудь;0;1;;;
いらっしゃい;3;いらっしゃい;;Добро пожаловать!;0;1;;;
インク;3;インク;;чернила;0;1;;;
ウイスキー;3;ウイスキー;;виски;0;1;;;
うがい;3;うがい;;полоскание рта, горла;0;1;;;
うなる;3;うなる;;стонать, рычать, выть;0;1;;;
エネルギー;3;エネルギー;;энергия;0;1;;;
エンジン;3;エンジン;;двигатель, мотор;0;1;;;
おじいさん;3;おじいさん;;дедушка, пожилой человек;0;1;;;
おしゃべり;3;おしゃべり;;болтовня, пустословие;0;1;;;
おそらく;3;おそらく;;пожалуй, вероятно;0;1;;;
オフィス;3;オフィス;;офис;0;1;;;
おめでとう;3;おめでとう;;поздравляю!;0;1;;;
およそ;3;およそ;;в общем, приблизительно;0;1;;;
カー;3;カー;;машина;0;1;;;
がっかり;3;がっかり;;падать духом, унывать, вымотаться;0;1;;;
かなり;3;かなり;;довольно, изрядно, порядочно, прилично;0;1;;;
きちんと;3;きちんと;;аккуратно, тщательно, точно, пунктуально;0;1;;;
きつい;3;きつい;;сильный, храбрый, строгий, тесный, напряженный, крутой;0;1;;;
キャプテン;3;キャプテン;;капитан;0;1;;;
キャンプ;3;キャンプ;;лагерь;0;1;;;
ぐっすり;3;ぐっすり;;быстро и крепко засыпать (ономат.);0;1;;;
クラシック;3;クラシック;;классика;0;1;;;
グラス;3;グラス;;стакан, рюмка;0;1;;;
グランド;3;グランド;;великий, гланды, (элек.) земля;0;1;;;
クリーム;3;クリーム;;крем;0;1;;;
クリスマス;3;クリスマス;;Рождество;0;1;;;
グループ;3;グループ;;группа;0;1;;;
ケース;3;ケース;;случай, дело, факт;0;1;;;
ゲーム;3;ゲーム;;игра;0;1;;;
けち;3;けち;;(разг.) скупость, жадность, невезение;0;1;;;
コーチ;3;コーチ;;тренировка, подготовка, тренер;0;1;;;
コード;3;コード;;код, шифр, шнур, провод, (мат.) хорда;0;1;;;
ゴール;3;ゴール;;цель, гол;0;1;;;
これら;3;これら;;эти;0;1;;;
こんなに;3;こんなに;;так, настолько;0;1;;;
サービス;3;サービス;;сервис, обслуживание, спортивная подача;0;1;;;
サイン;3;サイン;;подпись, автограф, знак, синус;0;1;;;
ざっと;3;ざっと;;приблизительно, примерно, грубо, бегло;0;1;;;
さっぱり;3;さっぱり;;чувство свежести, чувствовать себя хорошо, опрятный, совершенно, совсем;0;1;;;
さて;3;さて;;союз а теперь, итак;0;1;;;
ジーンズ;3;ジーンズ;;джинсы;0;1;;;
しかも;3;しかも;;притом, при этом, кроме того;0;1;;;
しきりに;3;しきりに;;очень часто, непрерывно, постоянно, упорно;0;1;;;
したがって;3;したがって;;следовательно, поэтому;0;1;;;
じっと;3;じっと;;спокойно, тихо, не двигаясь, терпеливо;0;1;;;
しばしば;3;しばしば;;часто, снова и снова;0;1;;;
しまった;3;しまった;;черт возьми! тьфу! (разг.);0;1;;;
しゃべる;3;しゃべる;;говорить, болтать;0;1;;;
スイッチ;3;スイッチ;;переключатель, выключатель;0;1;;;
スープ;3;スープ;;суп;0;1;;;
スキー;3;スキー;;лыжи;0;1;;;
スケート;3;スケート;;коньки, катание на коньках;0;1;;;
スター;3;スター;;звезда (экрана);0;1;;;
スタイル;3;スタイル;;стиль, мода, фасон, прическа;0;1;;;
スタンド;3;スタンド;;подставка, стойка, трибуны, буфет, закусочная (где едят стоя);0;1;;;
すてき;3;すてき;;замечательный, чудесный;0;1;;;
すなわち;3;すなわち;;то есть, а именно;0;1;;;
スピーチ;3;スピーチ;;речь;0;1;;;
セット;3;セット;;комплект, набор, гарнитур, укладка (волос);0;1;;;
センター;3;センター;;центр;0;1;;;
そっくり;3;そっくり;;все целиком, полностью, быть точной копией, нетронутый;0;1;;;
そっと;3;そっと;;легонько, тайком, украдкой, как есть;0;1;;;
そのうち;3;そのうち;;скоро, со временем, тем временем, среди чего-то;0;1;;;
そのまま;3;そのまま;;как есть, в том же виде;0;1;;;
ソファー;3;ソファー;;диван;0;1;;;
それぞれ;3;それぞれ;;каждый в отдельности, каждый по-своему;0;1;;;
それでも;3;それでも;;тем не менее, всё же, всё-таки, несмотря на это;0;1;;;
それとも;3;それとも;;или;0;1;;;
タイプライター;3;タイプライター;;пишущая машинка;0;1;;;
ダイヤ;3;ダイヤ;;бриллиант, диаграмма, расписание;0;1;;;
タオル;3;タオル;;полотенце;0;1;;;
だけど;3;だけど;;однако;0;1;;;
たった;3;たった;;только, лишь;0;1;;;
だって;3;だって;;ведь, даже;0;1;;;
たっぷり;3;たっぷり;;уйма, вдоволь, вполне;0;1;;;
たとえ;3;たとえ;;аллегория, метафора, иносказание, метафора, притча, сравнение, аналогия;0;1;;;
たびたび;3;たびたび;;неоднократно, часто, не раз;0;1;;;
ダンス;3;ダンス;;танец;0;1;;;
チーズ;3;チーズ;;сыр;0;1;;;
チーム;3;チーム;;команда;0;1;;;
チャンス;3;チャンス;;шанс;0;1;;;
ちゃんと;3;ちゃんと;;как следует, аккуратно, точно;0;1;;;
つまり;3;つまり;;короче говоря, другими словами, то есть, в конце концов;0;1;;;
デート;3;デート;;свидание;0;1;;;
できれば;3;できれば;;если смогу;0;1;;;
ですから;3;ですから;;поэтому;0;1;;;
デモ;3;デモ;;(сокр.) демо, демонстрация;0;1;;;
テント;3;テント;;палатка, навес;0;1;;;
どうしても;3;どうしても;;во что бы то ни стало, любой ценой, ни в коем случае (с отриц.), неизбежно, обязательно;0;1;;;
ところが;3;ところが;;однако, но;0;1;;;
ところで;3;ところで;;кстати, между прочим, даже если;0;1;;;
トップ;3;トップ;;верх, топовая позиция, топ-менеджер;0;1;;;
とにかく;3;とにかく;;как бы то там не было, во всяком случае;0;1;;;
ドライブ;3;ドライブ;;привод, езда, поездка, крученный удар по мячу;0;1;;;
トラック;3;トラック;;грузовик, дорожка;0;1;;;
ドラマ;3;ドラマ;;драма;0;1;;;
トランプ;3;トランプ;;игральные карты;0;1;;;
どれどれ;3;どれどれ;;какой? который (из нескольких)? где?;0;1;;;
ドレス;3;ドレス;;платье, костюм;0;1;;;
トン;3;トン;;тонна;0;1;;;
とんでもない;3;とんでもない;;нелепый, ужасный, неожиданный, невероятный;0;1;;;
どんなに;3;どんなに;;как, насколько, как бы ни, сколько бы ни;0;1;;;
トンネル;3;トンネル;;тоннель;0;1;;;
なお;3;なお;;ещё (больше), все (ещё), еще важнее, тем более, далее;0;1;;;
なぜなら;3;なぜなら;;по причине того, что;0;1;;;
にっこり;3;にっこり;;приветливая улыбка;0;1;;;
ノー;3;ノー;;нет;0;1;;;
ノック;3;ノック;;стук;0;1;;;
のんびり;3;のんびり;;беззаботно, свободно, непринужденно;0;1;;;
はあ;3;はあ;;Да, А?, Что?;0;1;;;
パーセント;3;パーセント;;процент;0;1;;;
バイオリン;3;バイオリン;;скрипка;0;1;;;
ハイキング;3;ハイキング;;пеший поход, экскурсия;0;1;;;
パイプ;3;パイプ;;труба, трубка, связи, отношения, каналы;0;1;;;
パイロット;3;パイロット;;пилот, лоцман;0;1;;;
パス;3;パス;;пас, пропуск, сезонный билет, сдача экзамена;0;1;;;
パスポート;3;パスポート;;паспорт;0;1;;;
バッグ;3;バッグ;;сумка, ошибка в программе;0;1;;;
ばったり;3;ばったり;;с шумом, внезапно, неожиданно;0;1;;;
バン;3;バン;;булочка, добавленная стоимость, фургон;0;1;;;
ハンサム;3;ハンサム;;красивый;0;1;;;
ビール;3;ビール;;пиво;0;1;;;
ピクニック;3;ピクニック;;пикник;0;1;;;
びっくり;3;びっくり;;удивляться, изумляться, пугаться;0;1;;;
ぴったり;3;ぴったり;;плотно, вплотную, точно, идеально, как раз;0;1;;;
ビデオ;3;ビデオ;;видео;0;1;;;
ピン;3;ピン;;булавка, кнопка, прищепка;0;1;;;
プラス;3;プラス;;плюс;0;1;;;
プラン;3;プラン;;план;0;1;;;
ブレーキ;3;ブレーキ;;тормоз;0;1;;;
プロ;3;プロ;;профессионал;0;1;;;
ベルト;3;ベルト;;ремень, пояс (для западной одежды);0;1;;;
ペンキ;3;ペンキ;;малярная краска;0;1;;;
ベンチ;3;ベンチ;;скамейка;0;1;;;
ボーイ;3;ボーイ;;мальчик, официант, посыльный;0;1;;;
ボート;3;ボート;;лодка, шлюпка;0;1;;;
ホーム;3;ホーム;;платформа, дом;0;1;;;
ボール;3;ボール;;мяч, шар;0;1;;;
ほぼ;3;ほぼ;;почти, примерно, более или менее;0;1;;;
ぼんやり;3;ぼんやり;;рассеяно, с растерянным видом, праздно, туманно, смутно;0;1;;;
